iter	Passed	Remaining
548	2372	1948
549	2376	1944
550	2380	1939
551	2384	1934
552	2387	1930
553	2391	1925
554	2395	1920
555	2399	1916
556	2403	1911
557	2407	1907
558	2411	1902
559	2415	1897
560	2419	1893
561	2422	1888
562	2427	1884
563	2431	1879
564	2435	1874
565	2439	1870
566	2442	1865
567	2447	1861
568	2450	1856
569	2454	1851
570	2458	1847
571	2462	1842
572	2466	1838
573	2470	1833
574	2475	1829
575	2479	1824
576	2483	1820
577	2487	1816
578	2491	1811
579	2495	1807
580	2499	1802
581	2504	1798
582	2509	1794
583	2513	1790
584	2517	1786
585	2522	1781
586	2526	1777
587	2530	1772
588	2534	1768
589	2538	1764
590	2542	1759
591	2546	1755
592	2550	1750
593	2554	1746
594	2558	1741
595	2562	1737
596	2566	1732
597	2570	1727
598	2574	1723
599	2578	1718
600	2582	1714
601	2586	1709
602	2590	1705
603	2594	1700
604	2597	1696
605	2601	1691
606	2605	1687
607	2609	1682
608	2613	1678
609	2617	1673
610	2621	1668
611	2625	1664
612	2629	1660
613	2633	1655
614	2637	1650
615	2640	1646
616	2644	1641
617	2648	1637
618	2652	1632
619	2656	1628
620	2660	1623
621	2664	1619
622	2668	1614
623	2672	1610
624	2676	1605
625	2679	1601
626	2684	1596
627	2689	1592
628	2693	1588
629	2697	1584
630	2701	1579
631	2705	1575
632	2709	1570
633	2713	1566
634	2717	1561
635	2720	1557
636	2724	1552
637	2728	1548
638	2732	1543
639	2736	1539
640	2740	1535
641	2744	1530
642	2748	1526
643	2752	1521
644	2756	1517
645	2760	1512
646	2764	1508
647	2768	1503
648	2772	1499
649	2776	1494
650	2780	1490
651	2784	1486
652	2788	1481
653	2791	1477
654	2795	1472
655	2799	1468
656	2803	1463
657	2807	1459
658	2811	1454
659	2814	1450
660	2818	1445
661	2822	1441
662	2826	1436
663	2830	1432
664	2834	1427
665	2838	1423
666	2842	1419
667	2846	1414
668	2850	1410
669	2854	1405
670	2857	1401
671	2861	1396
672	2865	1392
673	2869	1388
674	2873	1383
675	2877	1379
676	2881	1374
677	2885	1370
678	2889	1366
679	2894	1362
680	2898	1357
681	2902	1353
682	2906	1348
683	2910	1344
684	2914	1340
685	2918	1335
686	2921	1331
687	2925	1326
688	2929	1322
689	2933	1318
690	2937	1313
691	2941	1309
692	2945	1304
693	2949	1300
694	2953	1296
695	2957	1291
696	2961	1287
697	2964	1282
698	2968	1278
699	2972	1273
700	2976	1269
701	2980	1265
702	2984	1260
703	2988	1256
704	2992	1251
705	2995	1247
706	2999	1243
707	3003	1238
708	3007	1234
709	3011	1230
710	3015	1225
711	3019	1221
712	3022	1216
713	3026	1212
714	3030	1208
715	3034	1203
716	3038	1199
717	3043	1195
718	3047	1190
719	3051	1186
720	3055	1182
721	3059	1177
722	3063	1173
723	3067	1169
724	3071	1165
725	3075	1160
726	3079	1156
727	3083	1152
728	3087	1147
729	3091	1143
730	3095	1138
731	3098	1134
732	3102	1130
733	3106	1125
734	3110	1121
735	3114	1117
736	3118	1112
737	3122	1108
738	3126	1104
739	3130	1099
740	3134	1095
741	3138	1091
742	3141	1086
743	3145	1082
744	3149	1078
745	3153	1073
746	3157	1069
747	3161	1064
748	3165	1060
749	3169	1056
750	3173	1052
751	3177	1047
752	3181	1043
753	3185	1039
754	3188	1034
755	3193	1030
756	3197	1026
757	3201	1022
758	3205	1017
759	3209	1013
760	3213	1009
761	3217	1005
762	3221	1000
763	3225	996
764	3229	992
765	3234	987
766	3237	983
767	3242	979
768	3246	975
769	3250	970
770	3254	966
771	3259	962
772	3263	958
773	3267	954
774	3271	949
775	3275	945
776	3280	941
777	3285	937
778	3290	933
779	3295	929
780	3299	925
781	3303	920
782	3306	916
783	3310	912
784	3314	907
785	3318	903
786	3322	899
787	3326	894
788	3330	890
789	3333	886
790	3337	881
791	3341	877
792	3345	873
793	3349	868
794	3353	864
795	3357	860
796	3360	856
797	3364	851
798	3368	847
799	3372	843
800	3376	838
801	3380	834
802	3383	830
803	3387	825
804	3391	821
805	3396	817
806	3400	813
807	3404	808
808	3408	804
809	3411	800
810	3415	796
811	3419	791
812	3423	787
813	3427	783
814	3431	778
815	3435	774
816	3439	770
817	3443	766
818	3446	761
819	3450	757
820	3454	753
821	3458	748
822	3462	744
823	3467	740
824	3471	736
825	3475	732
826	3479	727
827	3483	723
828	3486	719
829	3490	714
830	3494	710
831	3498	706
832	3502	702
833	3506	697
834	3509	693
835	3513	689
836	3517	685
837	3521	680
838	3525	676
839	3529	672
840	3533	667
841	3536	663
842	3540	659
843	3544	655
844	3548	650
845	3552	646
846	3556	642
847	3560	638
848	3563	633
849	3567	629
850	3571	625
851	3575	621
852	3579	616
853	3583	612
854	3587	608
855	3591	604
856	3595	599
857	3598	595
858	3602	591
859	3606	587
860	3610	582
861	3614	578
862	3618	574
863	3621	570
864	3625	565
865	3629	561
866	3633	557
867	3637	553
868	3641	548
869	3645	544
870	3650	540
871	3654	536
872	3659	532
873	3663	528
874	3666	523
875	3670	519
876	3674	515
877	3678	511
878	3682	506
879	3686	502
880	3690	498
881	3694	494
882	3698	490
883	3702	485
884	3705	481
885	3709	477
886	3713	473
887	3717	468
888	3721	464
889	3725	460
890	3729	456
891	3733	452
892	3737	447
893	3741	443
894	3744	439
895	3748	435
896	3752	430
897	3756	426
898	3760	422
899	3764	418
900	3767	414
901	3771	409
902	3775	405
903	3779	401
904	3783	397
905	3787	392
906	3791	388
907	3795	384
908	3798	380
909	3802	376
910	3806	371
911	3810	367
912	3815	363
913	3819	359
914	3823	355
915	3827	351
916	3831	346
917	3835	342
918	3839	338
919	3843	334
920	3848	330
921	3852	325
922	3856	321
923	3860	317
924	3864	313
925	3868	309
926	3871	304
927	3875	300
928	3879	296
929	3883	292
930	3887	288
931	3891	283
932	3895	279
933	3899	275
934	3903	271
935	3907	267
936	3911	262
937	3915	258
938	3919	254
939	3923	250
940	3927	246
941	3931	242
942	3935	237
943	3939	233
944	3943	229
945	3947	225
946	3950	221
947	3954	216
948	3958	212
949	3962	208
950	3966	204
951	3970	200
952	3974	196
953	3978	191
954	3982	187
955	3986	183
956	3990	179
957	3994	175
958	3997	170
959	4002	166
960	4005	162
961	4009	158
962	4013	154
963	4017	150
964	4021	145
965	4025	141
966	4029	137
967	4033	133
968	4037	129
969	4041	125
970	4045	120
971	4050	116
972	4055	112
973	4059	108
974	4063	104
975	4067	100
976	4071	95
977	4075	91
978	4079	87
979	4083	83
980	4086	79
981	4090	74
982	4094	70
983	4098	66
984	4102	62
985	4106	58
986	4110	54
987	4114	49
988	4118	45
989	4122	41
990	4125	37
991	4129	33
992	4133	29
993	4137	24
994	4141	20
995	4145	16
996	4149	12
997	4153	8
998	4157	4
999	4160	0
